example_id                                                               | status | run_time        |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:19]                         | passed | 0.02483 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:20]                         | passed | 0.03942 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:21]                         | passed | 0.03491 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:22]                         | passed | 0.0359 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:23]                         | passed | 0.03418 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:24]                         | passed | 0.02717 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:25]                         | passed | 0.02673 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:26]                         | passed | 0.02475 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:27]                         | passed | 0.03452 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:28]                         | passed | 0.02987 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:3:1]                          | passed | 0.04778 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:3:2]                          | passed | 0.04986 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:3:3]                          | passed | 0.04777 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:3:4]                          | passed | 0.04314 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:1]                          | passed | 0.07572 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:2]                          | passed | 0.07134 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:3]                          | passed | 0.2146 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:4]                          | passed | 0.06935 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:5]                          | passed | 0.07009 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:6]                          | passed | 0.07206 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:7]                          | passed | 0.074 seconds   |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:8]                          | passed | 0.06963 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:9]                          | passed | 0.09574 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:4:10]                         | passed | 0.0921 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:1]                          | passed | 0.05695 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:2]                          | passed | 0.05812 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:3]                          | passed | 0.05827 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:4]                          | passed | 0.06765 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:5]                          | passed | 0.05374 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:6]                          | passed | 0.05776 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:7]                          | passed | 0.05234 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:5:8]                          | passed | 0.05798 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:6:1]                          | passed | 0.04354 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:6:2]                          | passed | 0.03461 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:1]                          | passed | 0.01501 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:2]                          | passed | 0.02041 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:3]                          | passed | 0.01428 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:4]                          | passed | 0.01695 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:5]                          | passed | 0.01486 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:6]                          | passed | 0.01969 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:7]                          | passed | 0.00901 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:1:8]                          | passed | 0.01003 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:1]                          | passed | 0.03048 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:2]                          | passed | 0.03411 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:3]                          | passed | 0.02826 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:4]                          | passed | 0.02931 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:5]                          | passed | 0.02878 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:6]                          | passed | 0.05284 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:7]                          | passed | 0.02789 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:8]                          | passed | 0.02995 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:9]                          | passed | 0.03236 seconds |
./spec/activerecord/friend_spec.rb[1:1:2:1:2:10]                         | passed | 0.02734 seconds |
